"Species";"Location";"Sample";"Heterozygosity_min";"Heterozygosity";"Heterozygosity_max";"Genome_Length_min";"Genome_Length";"Genome_Length_max";"Genome_Repeat_min";"Genome_Repeat";"Genome_Repeat_max";"Genome_Unique_min";"Genome_Unique";"Genome_Unique_max";"Model_Fit_min";"Model_Fit";"Model_Fit_max";"Read_error_rate_min";"Read_error_rate";"Read_error_rate_max";"color";"loc_plot"
"Scine";"Mu";"ScineMu1";0.717519;0.718009;0.718499;605891479;605944087.5;605996696;99272930;99281550;99290170;506618549;506662537.5;506706526;98.4164;98.9767;99.537;0.212013;0.212013;0.212013;"#F4A582";"2.Mu"
"Scant";"Li";"ScantLi2";0.440365;0.4411295;0.441894;773809944;773884523.5;773959103;145280269;145294271;145308273;628529675;628590252.5;628650830;98.1816;99.0227;99.8638;0.165013;0.165013;0.165013;"#CA0020";"1.Li"
"Peryt";"Fa";"PerytFa5";1.07828;1.07869;1.0791;730396111;730451106;730506101;114043648;114052235;114060822;616352463;616398871;616445279;98.3685;99.05735;99.7462;0.212374;0.212374;0.212374;"#92C5DE";"3.Fa"
"Scant";"Fa";"ScantFa3";0.494134;0.4948135;0.495493;777166608;777241366;777316124;148002124;148016360.5;148030597;629164484;629225005.5;629285527;98.1945;99.03405;99.8736;0.171318;0.171318;0.171318;"#92C5DE";"3.Fa"
"Scine";"Li";"ScineLi1";0.701427;0.702024;0.702621;599566062;599629932;599693802;89435341;89444868.5;89454396;510130721;510185063.5;510239406;98.0009;98.53395;99.067;0.216223;0.216223;0.216223;"#CA0020";"1.Li"
"Hgutt";"Mu";"HguttMu4";0.351499;0.3520325;0.352566;438259944;438279739.5;438299535;62096272;62099077;62101882;376163671;376180662;376197653;98.6832;99.1955;99.7078;0.548701;0.548701;0.548701;"#F4A582";"2.Mu"
"Scant";"Li";"ScantLi4";0.418024;0.4189155;0.419807;775555890;775634123;775712356;147308823;147323682.5;147338542;628247067;628310440.5;628373814;98.243;99.06135;99.8797;0.174394;0.174394;0.174394;"#CA0020";"1.Li"
"Scant";"Fa";"ScantFa5";0.492277;0.49299;0.493703;774387697;774465268.5;774542840;145488967;145503541;145518115;628898731;628961728.5;629024726;98.1099;98.9369;99.7639;0.167824;0.167824;0.167824;"#92C5DE";"3.Fa"
"Scine";"Ga";"ScineGa4";0.451005;0.451333;0.451661;582126408;582157525.5;582188643;76626803;76630899;76634995;505499604;505526625.5;505553647;98.4297;98.9931;99.5565;0.206634;0.206634;0.206634;"#0571B0";"4.Ga"
"Scant";"Li";"ScantLi1";0.431946;0.432721;0.433496;777593022;777672519;777752016;148452531;148467708;148482885;629140491;629204811;629269131;98.1663;98.9898;99.8133;0.148514;0.148514;0.148514;"#CA0020";"1.Li"
"Msurm";"Ga";"MsurmGa6";0.820469;0.828798;0.837127;595054254;595556973;596059692;160989978;161125987;161261996;434064276;434430986;434797696;97.9452;98.48405;99.0229;0.265529;0.265529;0.265529;"#0571B0";"4.Ga"
"Scant";"Li";"ScantLi3";0.427682;0.4283725;0.429063;773910331;773983175.5;774056020;145257782;145271454.5;145285127;628652549;628711721;628770893;98.2174;99.0359;99.8544;0.159705;0.159705;0.159705;"#CA0020";"1.Li"
"Cgale";"Li";"CgaleLi4";0.622256;0.62359;0.624924;725295247;725387740;725480233;139728638;139746457;139764276;585566609;585641283;585715957;98.4575;99.14105;99.8246;0.284066;0.284066;0.284066;"#CA0020";"1.Li"
"Hgutt";"Ga";"HguttGa3";0.286693;0.287157;0.287621;424600438;424623341;424646244;57681673;57684784.5;57687896;366918765;366938556.5;366958348;98.5323;99.0498;99.5673;0.4034;0.4034;0.4034;"#0571B0";"4.Ga"
"Scine";"Mu";"ScineMu2";0.719912;0.720338;0.720764;605801336;605843510;605885684;97934285;97941103;97947921;507867051;507902407;507937763;98.5749;99.19515;99.8154;0.251216;0.251216;0.251216;"#F4A582";"2.Mu"
"Cgale";"Fa";"CgaleFa1";0.571566;0.5722955;0.573025;703981453;704041825;704102197;116913549;116923575.5;116933602;587067904;587118249.5;587168595;98.4754;99.1234;99.7714;0.271425;0.271425;0.271425;"#92C5DE";"3.Fa"
"Scant";"Mu";"ScantMu6";0.42159;0.4223525;0.423115;771325069;771400954;771476839;142285354;142299352.5;142313351;629039715;629101601.5;629163488;98.1384;98.9416;99.7448;0.168702;0.168702;0.168702;"#F4A582";"2.Mu"
"Scant";"Mu";"ScantMu4";0.447761;0.4484065;0.449052;773565560;773636670;773707780;144239444;144252703;144265962;629326117;629383967.5;629441818;98.1696;99.00495;99.8403;0.170867;0.170867;0.170867;"#F4A582";"2.Mu"
"Peryt";"Ga";"PerytGa4";1.07188;1.07258;1.07328;729521312;729575962.5;729630613;112407983;112416404;112424825;617113329;617159559;617205789;98.4554;99.1287;99.802;0.246847;0.246847;0.246847;"#0571B0";"4.Ga"
